geoid,lat,long,class
25.0,41.894113,-87.763117,class_income
26.0,41.878602,-87.730233,class_income
26.0,41.878602,-87.730233,class_income
26.0,41.878602,-87.730233,class_income
26.0,41.878602,-87.730233,class_income
27.0,41.878923,-87.705892,class_income
27.0,41.878923,-87.705892,class_income
27.0,41.878923,-87.705892,class_income
27.0,41.878923,-87.705892,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
28.0,41.874016,-87.663513,class_income
29.0,41.860197,-87.717218,class_income
29.0,41.860197,-87.717218,class_income
29.0,41.860197,-87.717218,class_income
29.0,41.860197,-87.717218,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
3.0,41.965822,-87.655899,class_income
30.0,41.839091,-87.714,class_income
30.0,41.839091,-87.714,class_income
30.0,41.839091,-87.714,class_income
30.0,41.839091,-87.714,class_income
30.0,41.839091,-87.714,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
31.0,41.850277,-87.66757,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
32.0,41.878881,-87.625194,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
33.0,41.857196,-87.620344,class_income
34.0,41.842083,-87.633976,class_income
34.0,41.842083,-87.633976,class_income
34.0,41.842083,-87.633976,class_income
34.0,41.842083,-87.633976,class_income
34.0,41.842083,-87.633976,class_income
35.0,41.835122,-87.61868,class_income
35.0,41.835122,-87.61868,class_income
35.0,41.835122,-87.61868,class_income
35.0,41.835122,-87.61868,class_income
35.0,41.835122,-87.61868,class_income
35.0,41.835122,-87.61868,class_income
36.0,41.823754,-87.603217,class_income
36.0,41.823754,-87.603217,class_income
36.0,41.823754,-87.603217,class_income
37.0,41.809082,-87.632427,class_income
37.0,41.809082,-87.632427,class_income
38.0,41.812947,-87.61786,class_income
38.0,41.812947,-87.61786,class_income
38.0,41.812947,-87.61786,class_income
38.0,41.812947,-87.61786,class_income
38.0,41.812947,-87.61786,class_income
39.0,41.808918,-87.596186,class_income
39.0,41.808918,-87.596186,class_income
39.0,41.808918,-87.596186,class_income
39.0,41.808918,-87.596186,class_income
39.0,41.808918,-87.596186,class_income
39.0,41.808918,-87.596186,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
4.0,41.975182,-87.687513,class_income
40.0,41.792356,-87.617936,class_income
40.0,41.792356,-87.617936,class_income
40.0,41.792356,-87.617936,class_income
40.0,41.792356,-87.617936,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
41.0,41.794088,-87.592305,class_income
42.0,41.778877,-87.594924,class_income
42.0,41.778877,-87.594924,class_income
42.0,41.778877,-87.594924,class_income
42.0,41.778877,-87.594924,class_income
43.0,41.761583,-87.57279,class_income
43.0,41.761583,-87.57279,class_income
43.0,41.761583,-87.57279,class_income
43.0,41.761583,-87.57279,class_income
44.0,41.740206,-87.615965,class_income
44.0,41.740206,-87.615965,class_income
44.0,41.740206,-87.615965,class_income
44.0,41.740206,-87.615965,class_income
45.0,41.744197,-87.586347,class_income
45.0,41.744197,-87.586347,class_income
45.0,41.744197,-87.586347,class_income
45.0,41.744197,-87.586347,class_income
45.0,41.744197,-87.586347,class_income
46.0,41.741243,-87.551435,class_income
46.0,41.741243,-87.551435,class_income
46.0,41.741243,-87.551435,class_income
46.0,41.741243,-87.551435,class_income
46.0,41.741243,-87.551435,class_income
47.0,41.728181,-87.59647,class_income
47.0,41.728181,-87.59647,class_income
47.0,41.728181,-87.59647,class_income
47.0,41.728181,-87.59647,class_income
47.0,41.728181,-87.59647,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
48.0,41.729673,-87.57272,class_income
49.0,41.706588,-87.623366,class_income
49.0,41.706588,-87.623366,class_income
49.0,41.706588,-87.623366,class_income
49.0,41.706588,-87.623366,class_income
49.0,41.706588,-87.623366,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
5.0,41.947811,-87.683839,class_income
50.0,41.706131,-87.598252,class_income
50.0,41.706131,-87.598252,class_income
50.0,41.706131,-87.598252,class_income
50.0,41.706131,-87.598252,class_income
50.0,41.706131,-87.598252,class_income
50.0,41.706131,-87.598252,class_income
51.0,41.690639,-87.570058,class_income
51.0,41.690639,-87.570058,class_income
51.0,41.690639,-87.570058,class_income
51.0,41.690639,-87.570058,class_income
52.0,41.707306,-87.534907,class_income
52.0,41.707306,-87.534907,class_income
52.0,41.707306,-87.534907,class_income
52.0,41.707306,-87.534907,class_income
52.0,41.707306,-87.534907,class_income
52.0,41.707306,-87.534907,class_income
53.0,41.67382,-87.635745,class_income
53.0,41.67382,-87.635745,class_income
53.0,41.67382,-87.635745,class_income
53.0,41.67382,-87.635745,class_income
53.0,41.67382,-87.635745,class_income
54.0,41.660137,-87.602849,class_income
54.0,41.660137,-87.602849,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
55.0,41.668188,-87.556803,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
56.0,41.796185,-87.764246,class_income
57.0,41.810873,-87.726365,class_income
57.0,41.810873,-87.726365,class_income
57.0,41.810873,-87.726365,class_income
57.0,41.810873,-87.726365,class_income
57.0,41.810873,-87.726365,class_income
